Year,Week,Date,Specimens_Other,Adenovirus_count,Adenovirus_pct,RSV_count,RSV_pct,Metapneumovirus_count,Metapneumovirus_pct,Rhinovirus_Enterovirus_count,Rhinovirus_Enterovirus_pct,SARS_CoV_2_count,SARS_CoV_2_pct,From,To,MidDate
2014,1,29/12/2013 - 04/01,2164,39,1.8,6,0.28,22,1.02,22,22.0,,,2013-12-29,2014-01-04,2014-01-01 00:00:00
2014,2,05/01 - 11/01,2412,33,1.37,6,0.25,18,0.75,18,17.0,,,2014-01-05,2014-01-11,2014-01-08 00:00:00
2014,3,12/01 - 18/01,2307,28,1.21,4,0.17,12,0.52,12,12.0,,,2014-01-12,2014-01-18,2014-01-15 00:00:00
2014,4,19/01 - 25/01,2589,20,0.77,20,0.77,13,0.5,13,12.0,,,2014-01-19,2014-01-25,2014-01-22 00:00:00
2014,5,26/01 - 01/02,2676,17,0.64,12,0.45,10,0.37,10,10.0,,,2014-01-26,2014-02-01,2014-01-29 00:00:00
2014,6,02/02 - 08/02,3042,27,0.89,12,0.39,12,0.39,12,10.0,,,2014-02-02,2014-02-08,2014-02-05 00:00:00
2014,7,09/02 - 15/02,2588,42,1.62,21,0.81,148,5.72,148,139.0,,,2014-02-09,2014-02-15,2014-02-12 00:00:00
2014,8,16/02 - 22/02,2879,46,1.6,33,1.15,152,5.28,150,141.0,,,2014-02-16,2014-02-22,2014-02-19 00:00:00
2014,9,23/02 - 01/03,2882,36,1.25,46,1.6,170,5.9,168,160.0,,,2014-02-23,2014-03-01,2014-02-26 00:00:00
2014,10,02/03 - 08/03,2516,32,1.27,48,1.91,207,8.23,206,189.0,,,2014-03-02,2014-03-08,2014-03-05 00:00:00
2014,11,09/03 - 15/03,2433,28,1.15,71,2.92,201,8.26,201,198.0,,,2014-03-09,2014-03-15,2014-03-12 00:00:00
2014,12,16/03 - 22/03,2553,35,1.37,97,3.8,263,10.3,262,258.0,,,2014-03-16,2014-03-22,2014-03-19 00:00:00
2014,13,23/03 - 29/03,2533,46,1.82,152,6.0,266,10.5,209,197.0,,,2014-03-23,2014-03-29,2014-03-26 00:00:00
2014,14,30/03 - 05/04,2186,40,1.83,128,5.86,240,10.98,80,77.0,,,2014-03-30,2014-04-05,2014-04-02 00:00:00
2014,15,06/04 - 12/04,2552,49,1.92,186,7.29,312,12.23,89,83.0,,,2014-04-06,2014-04-12,2014-04-09 00:00:00
2014,16,13/04 - 19/04,2309,47,2.04,146,6.32,273,11.82,87,84.0,,,2014-04-13,2014-04-19,2014-04-16 00:00:00
2014,17,20/04 - 26/04,2297,23,1.0,148,6.44,274,11.93,100,86.0,,,2014-04-20,2014-04-26,2014-04-23 00:00:00
2014,18,27/04 - 03/05,2193,69,3.15,117,5.34,259,11.81,109,94.0,,,2014-04-27,2014-05-03,2014-04-30 00:00:00
2014,19,04/05 - 10/05,1933,40,2.07,76,3.93,246,12.73,99,85.0,,,2014-05-04,2014-05-10,2014-05-07 00:00:00
2014,20,11/05 - 17/05,1919,35,1.82,64,3.34,253,13.18,102,82.0,,,2014-05-11,2014-05-17,2014-05-14 00:00:00
2014,21,18/05 - 24/05,1972,56,2.84,71,3.6,302,15.31,100,64.0,,,2014-05-18,2014-05-24,2014-05-21 00:00:00
2014,22,25/05 - 31/05,2061,64,3.11,104,5.05,332,16.11,94,65.0,,,2014-05-25,2014-05-31,2014-05-28 00:00:00
2014,23,01/06 - 07/06,2132,54,2.53,114,5.35,324,15.2,106,70.0,,,2014-06-01,2014-06-07,2014-06-04 00:00:00
2014,24,08/06 - 14/06,2183,73,3.34,119,5.45,301,13.79,101,58.0,,,2014-06-08,2014-06-14,2014-06-11 00:00:00
