Year,Week,Date,Specimens_Other,Adenovirus_count,Adenovirus_pct,RSV_count,RSV_pct,Metapneumovirus_count,Metapneumovirus_pct,Rhinovirus_Enterovirus_count,Rhinovirus_Enterovirus_pct,SARS_CoV_2_count,SARS_CoV_2_pct,From,To,MidDate,RSV_proportion,Metapneumovirus_proportion,Adenovirus_proportion
2014,1,29/12/2013 - 04/01,2164.0,39,1.8,6.0,0.28,22.0,1.02,22.0,22.0,,,2013-12-29,2014-01-04,2014-01-01 00:00:00,0.0028000000000000004,0.0102,0.018000000000000002
2014,2,05/01 - 11/01,2412.0,33,1.37,6.0,0.25,18.0,0.75,18.0,17.0,,,2014-01-05,2014-01-11,2014-01-08 00:00:00,0.0025,0.0075,0.0137
2014,3,12/01 - 18/01,2307.0,28,1.21,4.0,0.17,12.0,0.52,12.0,12.0,,,2014-01-12,2014-01-18,2014-01-15 00:00:00,0.0017000000000000001,0.0052,0.0121
2014,4,19/01 - 25/01,2589.0,20,0.77,20.0,0.77,13.0,0.5,13.0,12.0,,,2014-01-19,2014-01-25,2014-01-22 00:00:00,0.0077,0.005,0.0077
2014,5,26/01 - 01/02,2676.0,17,0.64,12.0,0.45,10.0,0.37,10.0,10.0,,,2014-01-26,2014-02-01,2014-01-29 00:00:00,0.0045000000000000005,0.0037,0.0064
2014,6,02/02 - 08/02,3042.0,27,0.89,12.0,0.39,12.0,0.39,12.0,10.0,,,2014-02-02,2014-02-08,2014-02-05 00:00:00,0.0039000000000000003,0.0039000000000000003,0.0089
2014,7,09/02 - 15/02,2588.0,42,1.62,21.0,0.81,148.0,5.72,148.0,139.0,,,2014-02-09,2014-02-15,2014-02-12 00:00:00,0.008100000000000001,0.0572,0.016200000000000003
2014,8,16/02 - 22/02,2879.0,46,1.6,33.0,1.15,152.0,5.28,150.0,141.0,,,2014-02-16,2014-02-22,2014-02-19 00:00:00,0.0115,0.0528,0.016
2014,9,23/02 - 01/03,2882.0,36,1.25,46.0,1.6,170.0,5.9,168.0,160.0,,,2014-02-23,2014-03-01,2014-02-26 00:00:00,0.016,0.059000000000000004,0.0125
2014,10,02/03 - 08/03,2516.0,32,1.27,48.0,1.91,207.0,8.23,206.0,189.0,,,2014-03-02,2014-03-08,2014-03-05 00:00:00,0.0191,0.0823,0.0127
2014,11,09/03 - 15/03,2433.0,28,1.15,71.0,2.92,201.0,8.26,201.0,198.0,,,2014-03-09,2014-03-15,2014-03-12 00:00:00,0.0292,0.08259999999999999,0.0115
2014,12,16/03 - 22/03,2553.0,35,1.37,97.0,3.8,263.0,10.3,262.0,258.0,,,2014-03-16,2014-03-22,2014-03-19 00:00:00,0.038,0.10300000000000001,0.0137
2014,13,23/03 - 29/03,2533.0,46,1.82,152.0,6.0,266.0,10.5,209.0,197.0,,,2014-03-23,2014-03-29,2014-03-26 00:00:00,0.06,0.105,0.0182
2014,14,30/03 - 05/04,2186.0,40,1.83,128.0,5.86,240.0,10.98,80.0,77.0,,,2014-03-30,2014-04-05,2014-04-02 00:00:00,0.058600000000000006,0.10980000000000001,0.0183
2014,15,06/04 - 12/04,2552.0,49,1.92,186.0,7.29,312.0,12.23,89.0,83.0,,,2014-04-06,2014-04-12,2014-04-09 00:00:00,0.0729,0.1223,0.0192
