season_name,signal,onset_date,best_Rt,n_weeks,signal_name
2014/15 winter,AandB_proportion,2014-11-19,1.924,35,Lab positivity
2015/16 winter,AandB_proportion,2015-11-04,1.494,35,Lab positivity
2016/17 winter,AandB_proportion,2016-12-28,1.172,37,Lab positivity
2017/18 summer,AandB_proportion,2017-05-03,1.571,52,Lab positivity
2018/19 winter,AandB_proportion,2018-11-07,1.363,37,Lab positivity
2023 summer,AandB_proportion,2023-02-15,1.834,37,Lab positivity
2023/24 winter,AandB_proportion,2023-08-16,1.351,37,Lab positivity
2024/25 winter,AandB_proportion,2024-11-13,1.654,34,Lab positivity
2014/15 winter,Adm_All,2014-11-19,2.878,35,All ages
2015/16 winter,Adm_All,2015-11-04,1.649,35,All ages
2016/17 winter,Adm_All,2017-01-04,1.293,37,All ages
2017/18 summer,Adm_All,2017-05-03,1.748,52,All ages
2018/19 winter,Adm_All,2018-10-31,1.541,37,All ages
2023 summer,Adm_All,2023-02-15,2.123,37,All ages
2023/24 winter,Adm_All,2023-08-16,1.482,37,All ages
2024/25 winter,Adm_All,2024-11-20,1.857,34,All ages
2014/15 winter,Adm_0_5,2014-11-26,2.502,35,0-5 years
2015/16 winter,Adm_0_5,2015-11-04,1.697,35,0-5 years
2016/17 winter,Adm_0_5,2016-11-30,1.334,37,0-5 years
2017/18 summer,Adm_0_5,2017-05-03,1.852,52,0-5 years
2018/19 winter,Adm_0_5,2018-11-14,1.473,37,0-5 years
2023 summer,Adm_0_5,2023-02-15,1.91,37,0-5 years
2023/24 winter,Adm_0_5,2023-08-16,1.711,37,0-5 years
2024/25 winter,Adm_0_5,2024-09-04,2.307,34,0-5 years
2014/15 winter,Adm_6_11,2014-11-12,49005.0,35,6-11 years
2015/16 winter,Adm_6_11,2015-12-02,1.98,35,6-11 years
2016/17 winter,Adm_6_11,2016-11-02,1.299,37,6-11 years
2017/18 summer,Adm_6_11,2017-05-03,1.648,52,6-11 years
2018/19 winter,Adm_6_11,2018-10-17,1.763,37,6-11 years
2023 summer,Adm_6_11,2023-02-15,2.123,37,6-11 years
2023/24 winter,Adm_6_11,2023-08-16,1.425,37,6-11 years
2024/25 winter,Adm_6_11,2024-09-04,1.864,34,6-11 years
2014/15 winter,Adm_12_17,2014-10-29,26005.0,35,12-17 years
2015/16 winter,Adm_12_17,2015-11-04,27505.0,35,12-17 years
2016/17 winter,Adm_12_17,2016-11-16,1.863,37,12-17 years
2017/18 summer,Adm_12_17,2017-05-03,3.029,52,12-17 years
2018/19 winter,Adm_12_17,2018-10-17,2.0,37,12-17 years
2023 summer,Adm_12_17,2023-02-15,2.334,37,12-17 years
2023/24 winter,Adm_12_17,2023-08-16,1.426,37,12-17 years
2024/25 winter,Adm_12_17,2024-09-11,2.26,34,12-17 years
2014/15 winter,Adm_65_higher,2014-11-19,4.04,35,65+ years
2015/16 winter,Adm_65_higher,2015-11-04,1.728,35,65+ years
2016/17 winter,Adm_65_higher,2017-01-11,1.35,37,65+ years
2017/18 summer,Adm_65_higher,2017-05-03,1.911,52,65+ years
2018/19 winter,Adm_65_higher,2018-10-31,1.61,37,65+ years
2023 summer,Adm_65_higher,2023-03-08,3.002,37,65+ years
2023/24 winter,Adm_65_higher,2023-08-16,1.542,37,65+ years
2024/25 winter,Adm_65_higher,2024-11-20,1.807,34,65+ years
