season,signal,onset_mean,onset_ci,lead_mean,lead_ci,best_Rt
2014/15,Lab positivity,2014-11-19,2014-12-03,35,21,1.92
2014/15,All ages,2014-11-19,2014-11-26,35,28,2.88
2014/15,0-5y,2014-11-26,2014-11-26,28,28,2.5
2014/15,6-11y,2014-12-10,2014-12-10,14,14,77717.1
2014/15,12-17y,2014-12-10,2014-12-10,14,14,125302.2
2014/15,65+,2014-11-19,2014-11-19,35,35,4.04
2015/16,Lab positivity,2015-11-04,2015-12-16,70,28,1.49
2015/16,All ages,2015-11-04,2015-12-16,70,28,1.65
2015/16,0-5y,2015-11-04,2015-12-09,70,35,1.7
2015/16,6-11y,2015-12-02,2015-12-02,42,42,1.98
2015/16,12-17y,2015-12-09,2015-12-09,35,35,144357.96
2015/16,65+,2015-11-04,2015-11-04,70,70,1.73
2016/17,Lab positivity,2016-12-28,2017-01-11,-98,-112,1.17
2016/17,All ages,2017-01-04,2017-01-04,-105,-105,1.29
2016/17,0-5y,2016-11-30,2016-12-14,-70,-84,1.33
2016/17,6-11y,2016-11-02,2016-11-09,-42,-49,1.3
2016/17,12-17y,2016-11-16,2016-11-16,-56,-56,1.86
2016/17,65+,2017-01-11,2017-01-18,-112,-119,1.35
2017/18,Lab positivity,2017-05-03,2017-05-03,-28,-28,1.57
2017/18,All ages,2017-05-03,2017-05-03,-28,-28,1.75
2017/18,0-5y,2017-05-03,2017-05-03,-28,-28,1.85
2017/18,6-11y,2017-05-03,2017-05-03,-28,-28,1.65
2017/18,12-17y,2017-05-03,2017-05-03,-28,-28,3.03
2017/18,65+,2017-05-03,2017-05-03,-28,-28,1.91
2018/19,Lab positivity,2018-11-07,2018-11-07,28,28,1.36
2018/19,All ages,2018-10-31,2018-11-07,35,28,1.54
2018/19,0-5y,2018-11-14,2018-11-14,21,21,1.47
2018/19,6-11y,2018-10-17,2018-11-07,49,28,1.76
2018/19,12-17y,2018-10-17,2018-10-17,49,49,2.0
2018/19,65+,2018-10-31,2018-11-07,35,28,1.61
2023 S,Lab positivity,2023-02-15,2023-03-08,35,14,1.83
2023 S,All ages,2023-02-15,2023-03-15,35,7,2.12
2023 S,0-5y,2023-02-15,2023-03-15,35,7,1.91
2023 S,6-11y,2023-02-15,2023-02-15,35,35,2.12
2023 S,12-17y,2023-02-15,2023-02-15,35,35,2.33
2023 S,65+,2023-03-08,2023-03-08,14,14,3.0
2023/24,Lab positivity,2023-08-16,2023-08-23,-28,-35,1.35
2023/24,All ages,2023-08-16,2023-08-16,-28,-28,1.48
2023/24,0-5y,2023-08-16,2023-08-23,-28,-35,1.71
2023/24,6-11y,2023-08-16,2023-08-16,-28,-28,1.42
2023/24,12-17y,2023-08-16,2023-08-23,-28,-35,1.43
2023/24,65+,2023-08-16,2023-08-16,-28,-28,1.54
2024/25,Lab positivity,2024-11-13,2024-12-04,49,28,1.65
2024/25,All ages,2024-11-20,2024-11-27,42,35,1.86
2024/25,0-5y,2024-09-04,2024-12-18,119,14,2.31
2024/25,6-11y,2024-09-04,2024-09-04,119,119,1.86
2024/25,12-17y,2024-09-11,2024-09-11,112,112,2.26
2024/25,65+,2024-11-20,2024-11-27,42,35,1.81
