season_name,pathogen,n_weeks,peak_positivity,epiestim_onset,epiestim_onset_strict,threshold_onset,lead_days,best_Rt
2014 spring,RSV,31,7.29,2014-01-29,2014-01-29,2014-03-05,35,1.513
2015 summer,RSV,35,5.43,2015-04-01,2015-04-01,2015-03-11,-21,1.221
2016 summer,RSV,35,5.01,2016-03-30,2016-03-30,2016-03-02,-28,1.123
2017 summer/fall,RSV,40,9.94,2017-03-29,2017-04-19,2017-03-01,-28,1.285
2018 summer,RSV,35,6.16,2018-04-04,2018-04-04,2018-03-21,-14,1.299
2019 summer,RSV,35,3.78,2019-04-03,2019-07-10,2019-03-06,-28,1.192
2021/22 rebound,RSV,44,12.36,2021-06-30,2021-07-28,2021-08-18,49,1.575
2022/23 winter,RSV,44,10.06,2022-07-06,2022-07-06,2022-11-16,133,2.644
2023 summer,RSV,44,8.34,2023-03-01,2023-04-12,2023-02-01,-28,1.248
2025 summer,RSV,39,3.54,2025-04-02,2025-04-02,2025-07-02,91,1.347
