season,si_mean,si_sd,window,onset_date,lead_days,chp_onset
2014/15,2.0,1.0,3,2014-11-19,35,2014-12-24
2014/15,2.0,1.0,4,2014-11-19,35,2014-12-24
2014/15,2.0,1.0,5,2014-11-26,28,2014-12-24
2014/15,2.0,1.0,6,2014-11-19,35,2014-12-24
2014/15,2.5,1.2,3,2014-11-19,35,2014-12-24
2014/15,2.5,1.2,4,2014-11-19,35,2014-12-24
2014/15,2.5,1.2,5,2014-11-26,28,2014-12-24
2014/15,2.5,1.2,6,2014-11-19,35,2014-12-24
2014/15,3.0,1.5,3,2014-11-19,35,2014-12-24
2014/15,3.0,1.5,4,2014-11-19,35,2014-12-24
2014/15,3.0,1.5,5,2014-11-26,28,2014-12-24
2014/15,3.0,1.5,6,2014-11-19,35,2014-12-24
2014/15,3.5,1.8,3,2014-11-19,35,2014-12-24
2014/15,3.5,1.8,4,2014-11-19,35,2014-12-24
2014/15,3.5,1.8,5,2014-11-26,28,2014-12-24
2014/15,3.5,1.8,6,2014-11-19,35,2014-12-24
2014/15,4.0,2.0,3,2014-11-19,35,2014-12-24
2014/15,4.0,2.0,4,2014-11-19,35,2014-12-24
2014/15,4.0,2.0,5,2014-11-26,28,2014-12-24
2014/15,4.0,2.0,6,2014-11-19,35,2014-12-24
2015/16,2.0,1.0,3,2015-11-04,70,2016-01-13
2015/16,2.0,1.0,4,2015-11-04,70,2016-01-13
2015/16,2.0,1.0,5,2015-11-11,63,2016-01-13
2015/16,2.0,1.0,6,2015-11-25,49,2016-01-13
2015/16,2.5,1.2,3,2015-11-04,70,2016-01-13
2015/16,2.5,1.2,4,2015-11-04,70,2016-01-13
2015/16,2.5,1.2,5,2015-11-11,63,2016-01-13
2015/16,2.5,1.2,6,2015-11-25,49,2016-01-13
2015/16,3.0,1.5,3,2015-11-04,70,2016-01-13
2015/16,3.0,1.5,4,2015-11-04,70,2016-01-13
2015/16,3.0,1.5,5,2015-11-11,63,2016-01-13
2015/16,3.0,1.5,6,2015-11-25,49,2016-01-13
2015/16,3.5,1.8,3,2015-11-04,70,2016-01-13
2015/16,3.5,1.8,4,2015-11-04,70,2016-01-13
2015/16,3.5,1.8,5,2015-11-11,63,2016-01-13
2015/16,3.5,1.8,6,2015-11-25,49,2016-01-13
2015/16,4.0,2.0,3,2015-11-04,70,2016-01-13
2015/16,4.0,2.0,4,2015-11-04,70,2016-01-13
2015/16,4.0,2.0,5,2015-11-11,63,2016-01-13
2015/16,4.0,2.0,6,2015-11-25,49,2016-01-13
2018/19,2.0,1.0,3,2018-10-31,35,2018-12-05
2018/19,2.0,1.0,4,2018-11-07,28,2018-12-05
2018/19,2.0,1.0,5,2018-11-07,28,2018-12-05
2018/19,2.0,1.0,6,2018-10-31,35,2018-12-05
2018/19,2.5,1.2,3,2018-10-31,35,2018-12-05
2018/19,2.5,1.2,4,2018-11-07,28,2018-12-05
2018/19,2.5,1.2,5,2018-11-07,28,2018-12-05
2018/19,2.5,1.2,6,2018-10-31,35,2018-12-05
2018/19,3.0,1.5,3,2018-10-31,35,2018-12-05
2018/19,3.0,1.5,4,2018-11-07,28,2018-12-05
2018/19,3.0,1.5,5,2018-11-07,28,2018-12-05
2018/19,3.0,1.5,6,2018-10-31,35,2018-12-05
2018/19,3.5,1.8,3,2018-10-31,35,2018-12-05
2018/19,3.5,1.8,4,2018-11-07,28,2018-12-05
2018/19,3.5,1.8,5,2018-11-07,28,2018-12-05
2018/19,3.5,1.8,6,2018-10-31,35,2018-12-05
2018/19,4.0,2.0,3,2018-10-31,35,2018-12-05
2018/19,4.0,2.0,4,2018-11-07,28,2018-12-05
2018/19,4.0,2.0,5,2018-11-07,28,2018-12-05
2018/19,4.0,2.0,6,2018-10-31,35,2018-12-05
2023 S,2.0,1.0,3,2023-02-08,42,2023-03-22
2023 S,2.0,1.0,4,2023-02-15,35,2023-03-22
2023 S,2.0,1.0,5,2023-03-08,14,2023-03-22
2023 S,2.0,1.0,6,2023-03-01,21,2023-03-22
2023 S,2.5,1.2,3,2023-02-08,42,2023-03-22
2023 S,2.5,1.2,4,2023-02-15,35,2023-03-22
2023 S,2.5,1.2,5,2023-03-08,14,2023-03-22
2023 S,2.5,1.2,6,2023-03-01,21,2023-03-22
2023 S,3.0,1.5,3,2023-02-08,42,2023-03-22
2023 S,3.0,1.5,4,2023-02-15,35,2023-03-22
2023 S,3.0,1.5,5,2023-03-08,14,2023-03-22
2023 S,3.0,1.5,6,2023-03-01,21,2023-03-22
2023 S,3.5,1.8,3,2023-02-08,42,2023-03-22
2023 S,3.5,1.8,4,2023-02-15,35,2023-03-22
2023 S,3.5,1.8,5,2023-03-08,14,2023-03-22
2023 S,3.5,1.8,6,2023-03-01,21,2023-03-22
2023 S,4.0,2.0,3,2023-02-08,42,2023-03-22
2023 S,4.0,2.0,4,2023-02-15,35,2023-03-22
2023 S,4.0,2.0,5,2023-03-08,14,2023-03-22
2023 S,4.0,2.0,6,2023-03-01,21,2023-03-22
2023/24,2.0,1.0,3,2023-08-09,-21,2023-07-19
2023/24,2.0,1.0,4,2023-08-16,-28,2023-07-19
2023/24,2.0,1.0,5,2023-08-23,-35,2023-07-19
2023/24,2.0,1.0,6,2023-08-30,-42,2023-07-19
2023/24,2.5,1.2,3,2023-08-09,-21,2023-07-19
2023/24,2.5,1.2,4,2023-08-16,-28,2023-07-19
2023/24,2.5,1.2,5,2023-08-23,-35,2023-07-19
2023/24,2.5,1.2,6,2023-08-30,-42,2023-07-19
2023/24,3.0,1.5,3,2023-08-09,-21,2023-07-19
2023/24,3.0,1.5,4,2023-08-16,-28,2023-07-19
2023/24,3.0,1.5,5,2023-08-23,-35,2023-07-19
2023/24,3.0,1.5,6,2023-08-30,-42,2023-07-19
2023/24,3.5,1.8,3,2023-08-09,-21,2023-07-19
2023/24,3.5,1.8,4,2023-08-16,-28,2023-07-19
2023/24,3.5,1.8,5,2023-08-23,-35,2023-07-19
2023/24,3.5,1.8,6,2023-08-30,-42,2023-07-19
2023/24,4.0,2.0,3,2023-08-09,-21,2023-07-19
2023/24,4.0,2.0,4,2023-08-16,-28,2023-07-19
2023/24,4.0,2.0,5,2023-08-23,-35,2023-07-19
2023/24,4.0,2.0,6,2023-08-30,-42,2023-07-19
2024/25,2.0,1.0,3,2024-11-06,56,2025-01-01
2024/25,2.0,1.0,4,2024-11-13,49,2025-01-01
2024/25,2.0,1.0,5,2024-11-20,42,2025-01-01
2024/25,2.0,1.0,6,2024-11-20,42,2025-01-01
2024/25,2.5,1.2,3,2024-11-06,56,2025-01-01
2024/25,2.5,1.2,4,2024-11-13,49,2025-01-01
2024/25,2.5,1.2,5,2024-11-20,42,2025-01-01
2024/25,2.5,1.2,6,2024-11-20,42,2025-01-01
2024/25,3.0,1.5,3,2024-11-06,56,2025-01-01
2024/25,3.0,1.5,4,2024-11-13,49,2025-01-01
2024/25,3.0,1.5,5,2024-11-20,42,2025-01-01
2024/25,3.0,1.5,6,2024-11-20,42,2025-01-01
2024/25,3.5,1.8,3,2024-11-06,56,2025-01-01
2024/25,3.5,1.8,4,2024-11-13,49,2025-01-01
2024/25,3.5,1.8,5,2024-11-20,42,2025-01-01
2024/25,3.5,1.8,6,2024-11-20,42,2025-01-01
2024/25,4.0,2.0,3,2024-11-06,56,2025-01-01
2024/25,4.0,2.0,4,2024-11-13,49,2025-01-01
2024/25,4.0,2.0,5,2024-11-20,42,2025-01-01
2024/25,4.0,2.0,6,2024-11-20,42,2025-01-01
