season,gamma,infect_days,Rt_burnin,best_Rt,onset,chp_onset,lead,fail,loss
2014/15 winter,0.1,10.0,1.343,1.66,,2014-12-24,,never sustained > 1,0.00015
2014/15 winter,0.2,5.0,0.545,1.054,2014-12-19,2014-12-24,5.0,,0.000191
2014/15 winter,0.33,3.0,0.301,0.89,,2014-12-24,,never sustained > 1,0.000276
2015/16 winter,0.1,10.0,1.141,1.753,2016-01-13,2016-01-13,0.0,,4.7e-05
2015/16 winter,0.2,5.0,0.656,1.114,2016-01-20,2016-01-13,-7.0,,0.000102
2015/16 winter,0.33,3.0,0.297,0.862,,2016-01-13,,never sustained > 1,0.000189
2018/19 winter,0.1,10.0,1.498,1.58,,2018-12-05,,never sustained > 1,0.000221
2018/19 winter,0.2,5.0,0.697,1.253,2018-12-09,2018-12-05,-4.0,,0.000179
2018/19 winter,0.33,3.0,0.505,1.071,2018-12-20,2018-12-05,-15.0,,0.00015
2023 summer,0.1,10.0,1.796,2.064,2023-08-12,2023-03-22,-143.0,,4.5e-05
2023 summer,0.2,5.0,0.95,1.238,2023-02-17,2023-03-22,33.0,,9.3e-05
2023 summer,0.33,3.0,0.741,0.996,,2023-03-22,,never sustained > 1,0.000164
2023/24 winter,0.1,10.0,1.16,1.252,,2023-07-19,,never sustained > 1,6.8e-05
2023/24 winter,0.2,5.0,1.058,1.279,2023-10-26,2023-07-19,-99.0,,5.5e-05
2023/24 winter,0.33,3.0,1.046,1.216,2023-11-17,2023-07-19,-121.0,,4.5e-05
2024/25 winter,0.1,10.0,0.895,2.097,2024-09-22,2025-01-01,101.0,,3.3e-05
2024/25 winter,0.2,5.0,0.695,1.798,2024-10-14,2025-01-01,79.0,,3.1e-05
2024/25 winter,0.33,3.0,0.473,1.675,2024-11-24,2025-01-01,38.0,,3.2e-05
