cutoff_week,signals,data_end,chp,chp_declared_by_cutoff,detection_rate,point_onset,alert_date,lead_over_chp
8,pos+adm+ili,2018-07-25,2018-12-05,False,0.0,,,
8,pos,2018-07-25,2018-12-05,False,0.05063291139240506,2018-06-30 00:00:00,,158.0
12,pos+adm+ili,2018-08-22,2018-12-05,False,0.0975609756097561,2018-08-02 12:00:00,,124.0
12,pos,2018-08-22,2018-12-05,False,0.22857142857142856,2018-08-09 00:00:00,,118.0
16,pos+adm+ili,2018-09-19,2018-12-05,False,0.07317073170731707,2018-08-06 00:00:00,,121.0
16,pos,2018-09-19,2018-12-05,False,0.3283582089552239,2018-08-10 00:00:00,,117.0
20,pos+adm+ili,2018-10-17,2018-12-05,False,0.11398963730569948,2018-08-05 00:00:00,,122.0
20,pos,2018-10-17,2018-12-05,False,0.47692307692307695,2018-08-11 00:00:00,,116.0
24,pos+adm+ili,2018-11-14,2018-12-05,False,0.8758169934640523,2018-10-15 00:00:00,2018-10-19,51.0
24,pos,2018-11-14,2018-12-05,False,0.9726027397260274,2018-10-18 00:00:00,2018-10-23,48.0
28,pos+adm+ili,2018-12-12,2018-12-05,True,0.8546099290780141,2018-10-15 00:00:00,2018-10-19,51.0
28,pos,2018-12-12,2018-12-05,True,0.9452054794520548,2018-10-18 00:00:00,2018-10-22,48.0
36,pos+adm+ili,2019-02-06,2018-12-05,True,0.919732441471572,2018-10-14 00:00:00,2018-10-16,52.0
36,pos,2019-02-06,2018-12-05,True,0.603448275862069,2018-08-04 00:00:00,,123.0
