season,seed,Rt_burnin,onset,lead,best_Rt,final_loss
2014/15,42,0.545,2014-12-19,5.0,1.054,0.000191
2014/15,123,0.56,2014-12-17,7.0,1.093,0.000102
2014/15,456,0.625,2014-12-13,11.0,1.096,0.000181
2014/15,789,0.643,2014-12-20,4.0,1.048,0.00018
2014/15,1024,0.693,2014-12-18,6.0,1.083,0.000227
2015/16,42,0.656,2016-01-20,-7.0,1.114,0.000102
2015/16,123,0.476,2016-01-22,-9.0,1.008,9.5e-05
2015/16,456,0.482,,,0.998,9.6e-05
2015/16,789,0.398,,,0.996,9.6e-05
2015/16,1024,0.417,2016-01-18,-5.0,1.035,0.000106
2018/19,42,0.697,2018-12-09,-4.0,1.253,0.000179
2018/19,123,0.68,2018-12-07,-2.0,1.302,0.000127
2018/19,456,0.631,2018-12-03,2.0,1.151,0.000131
2018/19,789,0.701,2018-12-11,-6.0,1.231,0.000113
2018/19,1024,0.689,2018-11-21,14.0,1.189,0.000158
2023 S,42,0.95,2023-02-17,33.0,1.238,9.3e-05
2023 S,123,0.838,2023-02-25,25.0,1.189,7.2e-05
2023 S,456,0.806,2023-03-02,20.0,1.179,7.3e-05
2023 S,789,0.84,2023-02-27,23.0,1.175,7.4e-05
2023 S,1024,0.959,2023-02-15,35.0,1.284,7.7e-05
2023/24,42,1.058,2023-10-26,-99.0,1.279,5.5e-05
2023/24,123,1.046,,,1.107,5.8e-05
2023/24,456,1.007,,,1.052,3.6e-05
2023/24,789,1.217,2023-10-15,-88.0,1.657,5.3e-05
2023/24,1024,0.986,2023-10-24,-97.0,1.197,5.3e-05
2024/25,42,0.695,2024-10-14,79.0,1.798,3.1e-05
2024/25,123,1.181,2025-02-20,-50.0,2.413,3.2e-05
2024/25,456,0.679,2024-10-11,82.0,2.299,1e-05
2024/25,789,0.759,2024-09-21,102.0,1.698,1.9e-05
2024/25,1024,0.617,2024-10-18,75.0,1.63,1e-05
