season,si_mean,si_sd,window,onset,lead
2017 sum,5.0,2.0,3,2017-01-25,-21
2017 sum,5.0,2.0,4,2017-02-01,-28
2017 sum,5.0,2.0,5,2017-02-08,-35
2017 sum,5.0,2.0,6,2017-02-22,-49
2017 sum,6.0,2.4,3,2017-01-25,-21
2017 sum,6.0,2.4,4,2017-02-01,-28
2017 sum,6.0,2.4,5,2017-02-08,-35
2017 sum,6.0,2.4,6,2017-02-22,-49
2017 sum,7.5,3.0,3,2017-01-25,-21
2017 sum,7.5,3.0,4,2017-02-01,-28
2017 sum,7.5,3.0,5,2017-02-08,-35
2017 sum,7.5,3.0,6,2017-02-15,-42
2017 sum,9.0,3.6,3,2017-01-25,-21
2017 sum,9.0,3.6,4,2017-02-01,-28
2017 sum,9.0,3.6,5,2017-02-08,-35
2017 sum,9.0,3.6,6,2017-02-15,-42
2017 sum,10.0,4.0,3,2017-01-25,-21
2017 sum,10.0,4.0,4,2017-02-01,-28
2017 sum,10.0,4.0,5,2017-02-08,-35
2017 sum,10.0,4.0,6,2017-02-15,-42
2018 sum,5.0,2.0,3,2018-01-24,56
2018 sum,5.0,2.0,4,2018-01-31,49
2018 sum,5.0,2.0,5,2018-02-14,35
2018 sum,5.0,2.0,6,2018-02-21,28
2018 sum,6.0,2.4,3,2018-01-24,56
2018 sum,6.0,2.4,4,2018-01-31,49
2018 sum,6.0,2.4,5,2018-02-07,42
2018 sum,6.0,2.4,6,2018-02-21,28
2018 sum,7.5,3.0,3,2018-01-24,56
2018 sum,7.5,3.0,4,2018-01-31,49
2018 sum,7.5,3.0,5,2018-02-07,42
2018 sum,7.5,3.0,6,2018-02-14,35
2018 sum,9.0,3.6,3,2018-01-24,56
2018 sum,9.0,3.6,4,2018-01-31,49
2018 sum,9.0,3.6,5,2018-02-07,42
2018 sum,9.0,3.6,6,2018-02-14,35
2018 sum,10.0,4.0,3,2018-01-24,56
2018 sum,10.0,4.0,4,2018-01-31,49
2018 sum,10.0,4.0,5,2018-02-07,42
2018 sum,10.0,4.0,6,2018-02-14,35
2021/22,5.0,2.0,3,2021-04-28,112
2021/22,5.0,2.0,4,2021-05-12,98
2021/22,5.0,2.0,5,2021-05-19,91
2021/22,5.0,2.0,6,2021-05-26,84
2021/22,6.0,2.4,3,2021-04-28,112
2021/22,6.0,2.4,4,2021-05-26,84
2021/22,6.0,2.4,5,2021-05-26,84
2021/22,6.0,2.4,6,2021-05-26,84
2021/22,7.5,3.0,3,2021-04-28,112
2021/22,7.5,3.0,4,2021-05-26,84
2021/22,7.5,3.0,5,2021-05-26,84
2021/22,7.5,3.0,6,2021-05-26,84
2021/22,9.0,3.6,3,2021-04-28,112
2021/22,9.0,3.6,4,2021-05-26,84
2021/22,9.0,3.6,5,2021-05-26,84
2021/22,9.0,3.6,6,2021-05-26,84
2021/22,10.0,4.0,3,2021-04-28,112
2021/22,10.0,4.0,4,2021-05-26,84
2021/22,10.0,4.0,5,2021-05-26,84
2021/22,10.0,4.0,6,2021-05-26,84
