scenario,params,n_reps,corr_median,corr_mean,corr_q025,corr_q975,gamma_median,gamma_q025,gamma_q975
perfect,fixed,50,-0.109,-0.131,-0.219,-0.096,0.2,0.2,0.2
perfect,free,50,-0.234,-0.222,-0.399,-0.074,0.15,0.15,0.15
scaled,fixed,50,-0.11,-0.169,-0.28,-0.109,0.2,0.2,0.2
scaled,free,22,-0.983,-0.696,-0.983,-0.084,0.15,0.15,0.5
noisy,fixed,28,-0.214,-0.154,-0.288,-0.03,0.2,0.2,0.2
noisy,free,50,-0.275,-0.225,-0.4,-0.069,0.15,0.15,0.5
delayed,fixed,34,0.072,-0.226,-0.738,0.193,0.2,0.2,0.2
delayed,free,45,-0.079,-0.128,-0.748,-0.057,0.15,0.05,0.5
filtered,fixed,50,-0.182,-0.211,-0.292,-0.004,0.2,0.2,0.2
filtered,free,32,-0.094,-0.132,-0.689,-0.09,0.325,0.15,0.5
thresholded,fixed,31,-0.227,-0.305,-0.981,0.147,0.2,0.2,0.2
thresholded,free,49,-0.1,0.076,-0.399,0.802,0.15,0.15,0.5
