scenario,SI,n_valid,r_median,r_mean,r_q025,r_q975,onset_err_median,onset_err_range,n_onset
perfect,correct,50,0.823,0.823,0.823,0.823,7.0,7 to 7,50
perfect,wrong,50,0.801,0.801,0.801,0.801,7.0,7 to 7,50
scaled,correct,50,0.823,0.823,0.823,0.823,7.0,7 to 7,50
scaled,wrong,50,0.801,0.801,0.801,0.801,7.0,7 to 7,50
noisy,correct,50,0.295,0.301,-0.011,0.59,-7.0,-7 to 14,50
noisy,wrong,50,0.302,0.313,-0.01,0.599,-7.0,-7 to 35,50
delayed,correct,50,0.27,0.27,0.27,0.27,-7.0,-7 to -7,50
delayed,wrong,50,0.231,0.231,0.231,0.231,-7.0,-7 to -7,50
filtered,correct,50,0.852,0.852,0.852,0.852,7.0,7 to 7,50
filtered,wrong,50,0.833,0.833,0.833,0.833,-7.0,-7 to -7,50
thresholded,correct,50,0.804,0.804,0.804,0.804,7.0,7 to 7,50
thresholded,wrong,50,0.804,0.804,0.804,0.804,14.0,14 to 14,50
two-wave,correct,50,0.491,0.491,0.491,0.491,,,0
two-wave,wrong,50,0.448,0.448,0.448,0.448,,,0
