pathogen,season,peak_positivity,snr,epiestim_lead,leads_threshold
Influenza,2014/15,0.386,25.121988612488188,35,True
Influenza,2015/16,0.257,16.7262981176411,70,True
Influenza,2016/17,0.156,10.1529280402802,-98,False
Influenza,2017/18,0.406,26.423646053549753,-28,False
Influenza,2018/19,0.299,19.459778743870384,28,True
Influenza,2023 S,0.182,11.845082713660233,35,True
Influenza,2023/24,0.149,9.697347935908653,-28,False
Influenza,2024/25,0.105,6.833701565573212,49,True
RSV,2014 spr,0.073,12.638883753057016,35,True
RSV,2015 sum,0.054,9.349311269384643,-21,False
RSV,2016 sum,0.05,8.65676969387467,-28,False
RSV,2017 sum,0.099,17.140403993871846,-28,False
RSV,2018 sum,0.062,10.73439442040459,-14,False
RSV,2019 sum,0.038,6.579144967344749,-28,False
RSV,2021/22,0.124,21.46878884080918,49,True
RSV,2022/23,0.101,17.48667478162683,133,True
RSV,2023 sum,0.083,14.370237691831951,-28,False
RSV,2025 sum,0.035,6.059738785712269,91,True
